num_date_time,answer
1_20220825 00,2039.9362503582042
1_20220825 01,2052.0364703544747
1_20220825 02,1832.440937150007
1_20220825 03,1752.2295177449
1_20220825 04,1741.3555969546385
1_20220825 05,1918.0101065964125
1_20220825 06,2224.963410426472
1_20220825 07,2610.9891522224607
1_20220825 08,2895.556005642235
1_20220825 09,3228.2176709849505
1_20220825 10,3816.217076050916
1_20220825 11,4009.87497151188
1_20220825 12,4089.017352070286
1_20220825 13,4140.920962061965
1_20220825 14,4165.124731300642
1_20220825 15,3708.8679403963997
1_20220825 16,3678.6504714966222
1_20220825 17,3363.4473440991956
1_20220825 18,2756.1040764293825
1_20220825 19,2568.0303629632517
1_20220825 20,2449.6932704594306
1_20220825 21,2014.0084176277228
1_20220825 22,1733.5713910858253
1_20220825 23,2055.7205787852854
1_20220826 00,2029.574251172573
1_20220826 01,1925.947672706727
1_20220826 02,1821.6066132463334
1_20220826 03,1689.2407736941925
1_20220826 04,1598.4264881462564
1_20220826 05,1764.723585224378
1_20220826 06,1939.7590657214132
1_20220826 07,2297.9969286554024
1_20220826 08,2689.074421976663
1_20220826 09,3058.018571147094
1_20220826 10,3686.936433446985
1_20220826 11,3910.578303382981
1_20220826 12,4003.3782421518536
1_20220826 13,4056.580376680306
1_20220826 14,4103.999401833618
1_20220826 15,4119.895683074846
1_20220826 16,4036.8078326127716
1_20220826 17,3390.5291804863823
1_20220826 18,2778.589794465428
1_20220826 19,2559.7298785887797
1_20220826 20,2360.9642057744104
1_20220826 21,1954.7153792819593
1_20220826 22,1608.0523275455203
1_20220826 23,2059.656381732586
1_20220827 00,1928.8291043259483
1_20220827 01,1947.6586370163018
1_20220827 02,1709.736104191929
1_20220827 03,1654.6601356421017
1_20220827 04,1653.9566079088386
1_20220827 05,1684.3110957265021
1_20220827 06,1850.9014466480605
1_20220827 07,1989.6319573556552
1_20220827 08,2237.373037015084
1_20220827 09,2552.639412067493
1_20220827 10,2976.7248457989544
1_20220827 11,3038.874798454289
1_20220827 12,3043.4748596747622
1_20220827 13,3099.082341872524
1_20220827 14,3116.0311075905765
1_20220827 15,3027.982142415305
1_20220827 16,3012.248020974812
1_20220827 17,2885.3269666289298
1_20220827 18,2568.0803069069516
1_20220827 19,2339.902540865851
1_20220827 20,2233.449086947193
1_20220827 21,1943.1408734427428
1_20220827 22,1530.3488027691526
1_20220827 23,1860.7808541758
1_20220828 00,1627.7807187843403
1_20220828 01,1561.2163596851572
1_20220828 02,1373.6804432871977
1_20220828 03,1297.014631937997
1_20220828 04,1311.2346830920394
1_20220828 05,1383.7847833403907
1_20220828 06,1536.8481629944447
1_20220828 07,1606.7685676332417
1_20220828 08,1756.20509012802
1_20220828 09,2246.208601701226
1_20220828 10,2641.5492620264768
1_20220828 11,2832.750240556316
1_20220828 12,2796.146406385703
1_20220828 13,2857.176693776785
1_20220828 14,2926.46033589902
1_20220828 15,2871.9909983154885
1_20220828 16,2799.485006797727
1_20220828 17,2714.9317164725494
1_20220828 18,2479.2375121612413
1_20220828 19,2272.6368727035397
1_20220828 20,2259.6445462473944
1_20220828 21,1918.8281375777642
1_20220828 22,1522.1340508554365
1_20220828 23,1922.773164702113
1_20220829 00,2085.6836133312327
1_20220829 01,1991.0683235178212
1_20220829 02,1859.1345673275564
1_20220829 03,1787.8481541540004
1_20220829 04,1866.8847900373748
1_20220829 05,1912.9362693496125
1_20220829 06,2063.7861697705057
1_20220829 07,2228.3492485414076
1_20220829 08,2480.987492474701
1_20220829 09,2841.7014699146075
1_20220829 10,3333.2777602827305
1_20220829 11,3506.646198978618
1_20220829 12,3464.080419194574
1_20220829 13,3573.295146522991
1_20220829 14,3431.881593969498
1_20220829 15,3445.6061794300867
1_20220829 16,3326.3170558377365
1_20220829 17,2995.825485607962
1_20220829 18,2476.253812889461
1_20220829 19,2313.6960009354552
1_20220829 20,2193.475378767117
1_20220829 21,1836.3857035693213
1_20220829 22,1616.059229446539
1_20220829 23,1963.2544618988793
1_20220830 00,1828.7517900157613
1_20220830 01,1798.933471917195
1_20220830 02,1627.2244433828641
1_20220830 03,1451.427688373832
1_20220830 04,1505.5032765439178
1_20220830 05,1721.8981025318767
1_20220830 06,1925.6289124398168
1_20220830 07,2190.48166397373
1_20220830 08,2599.640920687295
1_20220830 09,2911.5412099940077
1_20220830 10,3440.64648847578
1_20220830 11,3638.3028537951136
1_20220830 12,3591.00253809726
1_20220830 13,3648.1135790955827
1_20220830 14,3629.9862978910687
1_20220830 15,3527.197804344472
1_20220830 16,3355.014892612186
1_20220830 17,3203.192493431027
1_20220830 18,2610.7461231709317
1_20220830 19,2414.755736610457
1_20220830 20,2271.015168551928
1_20220830 21,1795.3768475703323
1_20220830 22,1618.7164964210294
1_20220830 23,1852.8652057197419
1_20220831 00,1842.332996073549
1_20220831 01,1778.5520400178348
1_20220831 02,1741.4373236030622
1_20220831 03,1640.4740405692075
1_20220831 04,1700.0812613960456
1_20220831 05,1759.5461388693086
1_20220831 06,1894.2539697130833
1_20220831 07,2215.0332988896016
1_20220831 08,2566.4072839315545
1_20220831 09,2992.8631775582962
1_20220831 10,3548.0513851666187
1_20220831 11,3536.1208369642272
1_20220831 12,3655.0648894185642
1_20220831 13,3666.7160153445725
1_20220831 14,3644.4618111767395
1_20220831 15,3548.413894443139
1_20220831 16,3500.013748506644
1_20220831 17,3435.3377458969317
1_20220831 18,2697.513226093866
1_20220831 19,2500.532401485979
1_20220831 20,2356.1099052838017
1_20220831 21,1981.2168246120805
1_20220831 22,1648.3872022061098
1_20220831 23,1995.9059619604607
2_20220825 00,1229.3729894794583
2_20220825 01,1229.869022194302
2_20220825 02,1223.2219885028958
2_20220825 03,1220.4822457542068
2_20220825 04,1217.8685982932693
2_20220825 05,1187.3555367698318
2_20220825 06,1179.3852593527554
2_20220825 07,1178.2045164269598
2_20220825 08,1598.9146538592515
2_20220825 09,1836.13181525885
2_20220825 10,2093.846542293727
2_20220825 11,2109.0279382527533
2_20220825 12,2143.1393868970686
2_20220825 13,2158.4878511941206
2_20220825 14,2155.07262821754
2_20220825 15,2024.6945177725486
2_20220825 16,2104.8471832684672
2_20220825 17,2103.444392971215
2_20220825 18,2098.537166408715
2_20220825 19,1871.964505340035
2_20220825 20,1756.4374515811985
2_20220825 21,1546.104000813858
2_20220825 22,1026.124100949386
2_20220825 23,1257.9655777460273
2_20220826 00,1238.7935777636128
2_20220826 01,1234.1303697558003
2_20220826 02,1227.9162851854444
2_20220826 03,1220.4337178274236
2_20220826 04,1208.8781148000799
2_20220826 05,1123.6396700491864
2_20220826 06,1103.757638854338
2_20220826 07,1085.518529234731
2_20220826 08,1399.4901603307435
2_20220826 09,1701.9205990605242
2_20220826 10,1993.4706520156062
2_20220826 11,1971.3342264821376
2_20220826 12,2013.4783779186607
2_20220826 13,2102.615522625061
2_20220826 14,2107.3309156914675
2_20220826 15,2125.4490746285205
2_20220826 16,2142.030110171333
2_20220826 17,2079.682646773467
2_20220826 18,2053.8352848308987
2_20220826 19,1786.93155452997
2_20220826 20,1730.8745822040323
2_20220826 21,1533.8377228740778
2_20220826 22,1050.013008350637
2_20220826 23,1243.4913976825833
2_20220827 00,1239.834354225552
2_20220827 01,1236.223270241177
2_20220827 02,1250.6618212344008
2_20220827 03,1228.1961689992986
2_20220827 04,1199.8456538170817
2_20220827 05,1148.84743571558
2_20220827 06,1047.2266526472606
2_20220827 07,1017.5292731411726
2_20220827 08,1228.9734444168976
2_20220827 09,1530.3785383841864
2_20220827 10,1772.7567872172226
2_20220827 11,1773.7398804789414
2_20220827 12,1865.9726009959452
2_20220827 13,1904.3109300240571
2_20220827 14,1947.6061952540895
2_20220827 15,1963.4711826719656
2_20220827 16,1961.9323032774344
2_20220827 17,1960.1603916563406
2_20220827 18,2010.8983178581198
2_20220827 19,1653.5821700458957
2_20220827 20,1521.3261986565433
2_20220827 21,1286.1932244167845
2_20220827 22,937.0284314974344
2_20220827 23,1203.3066252441354
2_20220828 00,1197.0710295410104
2_20220828 01,1137.426023033503
2_20220828 02,1141.3386494958245
2_20220828 03,1083.8901487451203
2_20220828 04,1046.0665520984567
2_20220828 05,919.7041601771319
2_20220828 06,877.8238128384246
2_20220828 07,966.9070369697267
2_20220828 08,1191.2899439146745
2_20220828 09,1511.9298030780126
2_20220828 10,1769.096110055235
2_20220828 11,1802.9377238247662
2_20220828 12,1873.4886293147943
2_20220828 13,1923.4505651736363
2_20220828 14,1962.7668830071623
2_20220828 15,1966.4529274166448
2_20220828 16,2035.7768030827121
2_20220828 17,1989.5657435123996
2_20220828 18,1921.9892039201022
2_20220828 19,1604.016066248428
