building 1 || best score : 3.565594575127877 || alpha : 0
building 2 || best score : 4.739831517202913 || alpha : 0
building 3 || best score : 5.326623530971337 || alpha : 7
building 4 || best score : 1.7986099388011305 || alpha : 50
building 5 || best score : 3.0412638403941887 || alpha : 5
building 6 || best score : 2.3655371813201422 || alpha : 3
building 7 || best score : 4.572684126721229 || alpha : 0.1
building 8 || best score : 2.511499997333954 || alpha : 0
building 9 || best score : 1.6056812324236713 || alpha : 10
building 10 || best score : 3.463528929227469 || alpha : 0.1
building 11 || best score : 1.700581336863683 || alpha : 7
building 12 || best score : 1.8728374363621174 || alpha : 25
building 13 || best score : 2.7170588098447497 || alpha : 0
building 14 || best score : 7.597360230405877 || alpha : 0.1
building 15 || best score : 1.7970589735550742 || alpha : 0
building 16 || best score : 2.60233841916579 || alpha : 1
building 17 || best score : 2.772519612997953 || alpha : 7
building 18 || best score : 3.444258290123677 || alpha : 5
building 19 || best score : 4.172891715235433 || alpha : 3
building 20 || best score : 2.32138532271332 || alpha : 3
building 21 || best score : 3.648052672739635 || alpha : 0.1
building 22 || best score : 1.8888754844703433 || alpha : 1
building 23 || best score : 0.6963213261502906 || alpha : 5
building 24 || best score : 1.1945676971169898 || alpha : 50
building 25 || best score : 0.9733832993010724 || alpha : 5
building 26 || best score : 1.0396864130098298 || alpha : 0
building 27 || best score : 0.6777799730496282 || alpha : 0.1
building 28 || best score : 2.310048458661452 || alpha : 0.1
building 29 || best score : 2.1067679201579472 || alpha : 0.1
building 30 || best score : 2.9983913467655317 || alpha : 0
building 31 || best score : 2.8076792075402235 || alpha : 0.01
building 32 || best score : 0.17621988714363473 || alpha : 0
building 33 || best score : 0.2274660721485571 || alpha : 0
building 34 || best score : 0.3056797388269635 || alpha : 10
building 35 || best score : 0.18916499587828653 || alpha : 1
building 36 || best score : 0.253019115452997 || alpha : 100
building 37 || best score : 2.448004172651736 || alpha : 3
building 38 || best score : 2.76448282728364 || alpha : 7
building 39 || best score : 2.414936731616443 || alpha : 7
building 40 || best score : 4.553781481284558 || alpha : 25
building 41 || best score : 2.1953480846772484 || alpha : 3
building 42 || best score : 7.0464233714700315 || alpha : 1
building 43 || best score : 2.551125782198778 || alpha : 0.01
building 44 || best score : 1.9470863786085524 || alpha : 0.1
building 45 || best score : 1.0893182940600974 || alpha : 7
building 46 || best score : 2.476149660852021 || alpha : 0
building 47 || best score : 2.1766265678150454 || alpha : 0.1
building 48 || best score : 0.8953027346346624 || alpha : 100
building 49 || best score : 0.9938653988018883 || alpha : 10
building 50 || best score : 1.2263119456374196 || alpha : 0.01
building 51 || best score : 1.7269178402531948 || alpha : 75
building 52 || best score : 1.573838669943723 || alpha : 3
building 53 || best score : 4.806008863825652 || alpha : 0.01
building 54 || best score : 9.112528077214217 || alpha : 5
building 55 || best score : 0.8012466675839349 || alpha : 1
building 56 || best score : 0.3640022523966517 || alpha : 0
building 57 || best score : 2.4204582714843443 || alpha : 0.01
building 58 || best score : 0.2133642521070943 || alpha : 0
building 59 || best score : 2.7528681864887754 || alpha : 5
building 60 || best score : 2.902657536981609 || alpha : 3
building 61 || best score : 2.165817276882391 || alpha : 1
building 62 || best score : 2.3960567417097565 || alpha : 1
building 63 || best score : 3.0155287453336093 || alpha : 1
building 64 || best score : 1.7504709391187498 || alpha : 0.01
building 65 || best score : 4.014136208391729 || alpha : 0
building 66 || best score : 2.060941072132168 || alpha : 75
building 67 || best score : 2.4062752637680367 || alpha : 0.01
building 68 || best score : 1.9001136127764022 || alpha : 0.1
building 69 || best score : 1.2604533097371573 || alpha : 0.1
building 70 || best score : 1.710119052873487 || alpha : 100
building 71 || best score : 1.8386535006879325 || alpha : 1
building 72 || best score : 1.9707132535571332 || alpha : 50
building 73 || best score : 1.5301992597564873 || alpha : 0.01
building 74 || best score : 2.6835270015939447 || alpha : 10
building 75 || best score : 1.979738211818314 || alpha : 50
building 76 || best score : 2.1615002817751647 || alpha : 0
building 77 || best score : 1.3376583191070324 || alpha : 25
building 78 || best score : 1.4327791779996526 || alpha : 50
building 79 || best score : 1.3893571629163775 || alpha : 3
building 80 || best score : 2.9159689085066445 || alpha : 7
building 81 || best score : 1.8462817735267483 || alpha : 1
building 82 || best score : 2.0522042086149677 || alpha : 0
building 83 || best score : 1.5104632020797406 || alpha : 3
building 84 || best score : 1.449195863972003 || alpha : 3
building 85 || best score : 1.636196245482833 || alpha : 5
building 86 || best score : 2.0853967327538387 || alpha : 100
building 87 || best score : 4.7157553374242305 || alpha : 5
building 88 || best score : 3.95787744976034 || alpha : 25
building 89 || best score : 3.9119160159832425 || alpha : 5
building 90 || best score : 2.6573481527910876 || alpha : 50
building 91 || best score : 6.7287580032207135 || alpha : 3
building 92 || best score : 2.8132017241803102 || alpha : 7
building 93 || best score : 3.037262920641157 || alpha : 1
building 94 || best score : 3.08139282696793 || alpha : 0
building 95 || best score : 6.908853988246754 || alpha : 7
building 96 || best score : 1.3574215174332296 || alpha : 100
building 97 || best score : 2.6271802571737486 || alpha : 0
building 98 || best score : 5.758434343204893 || alpha : 0.01
building 99 || best score : 1.6744018234748854 || alpha : 0
building 100 || best score : 2.560098364405951 || alpha : 0.01
building 1 || best score : 3.3592440356871394 || alpha : 3
building 2 || best score : 4.642175753487919 || alpha : 0
building 3 || best score : 5.1862871324499755 || alpha : 5
building 4 || best score : 1.9063256306404808 || alpha : 5
building 5 || best score : 4.687368237173727 || alpha : 1
building 6 || best score : 2.409966524895411 || alpha : 0.1
building 7 || best score : 4.256880279936155 || alpha : 0.1
building 8 || best score : 2.4712723278060595 || alpha : 0
building 9 || best score : 1.6936798732138065 || alpha : 3
building 10 || best score : 3.4601228634102443 || alpha : 0.1
building 11 || best score : 1.6790509966851292 || alpha : 25
building 12 || best score : 1.9006836902159694 || alpha : 10
building 13 || best score : 2.6401963023211517 || alpha : 100
building 14 || best score : 7.590594603137295 || alpha : 0.1
building 15 || best score : 1.5810088406772376 || alpha : 0
building 16 || best score : 2.5713688004711126 || alpha : 0
building 17 || best score : 2.8842448132417378 || alpha : 3
building 18 || best score : 3.408627903442132 || alpha : 0
building 19 || best score : 4.341867734600147 || alpha : 7
building 20 || best score : 2.591451708401172 || alpha : 0
building 21 || best score : 3.814489008379814 || alpha : 3
building 22 || best score : 1.9778474724327093 || alpha : 7
building 23 || best score : 0.6987998436559342 || alpha : 3
building 24 || best score : 1.2590266349205792 || alpha : 5
building 25 || best score : 1.0553009543183083 || alpha : 0
building 26 || best score : 0.9566023832154994 || alpha : 3
building 27 || best score : 0.8349063108410928 || alpha : 0
building 28 || best score : 2.5229552546655354 || alpha : 1
building 29 || best score : 2.099899398658777 || alpha : 0.1
building 30 || best score : 3.2805716452818134 || alpha : 5
building 31 || best score : 2.7481279506335095 || alpha : 0.01
building 32 || best score : 0.17731900050682156 || alpha : 1
building 33 || best score : 0.2391365884249376 || alpha : 7
building 34 || best score : 0.32031219211367984 || alpha : 7
building 35 || best score : 0.18368153977566284 || alpha : 1
building 36 || best score : 0.21757526757489196 || alpha : 75
