colsample_bytree,eta,max_depth,min_child_weight,n_estimators,subsample,alpha
0.4,0.01,7,6,962,1.0000000000000002,0.0
0.4,0.01,5,3,962,1.0000000000000002,10.0
1.0000000000000002,0.01,4,5,962,1.0000000000000002,1.0
0.4,0.01,5,4,962,1.0000000000000002,25.0
1.0000000000000002,0.01,5,1,962,1.0000000000000002,10.0
1.0000000000000002,0.01,4,6,962,1.0000000000000002,50.0
0.4,0.01,6,6,962,1.0000000000000002,5.0
0.8000000000000002,0.01,5,1,962,1.0000000000000002,25.0
0.4,0.01,6,7,962,0.8000000000000002,75.0
0.4,0.01,4,4,962,0.8000000000000002,0.01
1.0000000000000002,0.01,7,7,962,1.0000000000000002,75.0
0.4,0.01,6,5,962,1.0000000000000002,100.0
0.4,0.01,6,4,962,0.8000000000000002,25.0
1.0000000000000002,0.01,6,6,962,1.0000000000000002,1.0
1.0000000000000002,0.01,3,1,962,1.0000000000000002,5.0
1.0000000000000002,0.01,6,7,962,1.0000000000000002,0.01
0.4,0.01,7,7,962,1.0000000000000002,50.0
0.4,0.01,7,6,962,1.0000000000000002,100.0
0.4,0.01,7,7,962,1.0000000000000002,100.0
0.4,0.01,4,3,962,1.0000000000000002,100.0
0.4,0.01,4,2,962,0.8000000000000002,50.0
1.0000000000000002,0.01,6,6,962,1.0000000000000002,25.0
0.4,0.01,7,7,962,1.0000000000000002,100.0
1.0000000000000002,0.01,4,6,962,1.0000000000000002,0.01
1.0000000000000002,0.01,6,3,962,1.0000000000000002,0.01
1.0000000000000002,0.01,5,6,962,1.0000000000000002,0.01
0.4,0.01,7,2,962,1.0000000000000002,0.01
0.8000000000000002,0.01,4,7,962,1.0000000000000002,10.0
1.0000000000000002,0.01,4,1,962,1.0000000000000002,25.0
1.0000000000000002,0.01,5,1,962,1.0000000000000002,5.0
0.4,0.01,3,7,962,0.6000000000000001,10.0
1.0000000000000002,0.01,5,4,962,1.0000000000000002,0.01
0.4,0.01,5,2,962,1.0000000000000002,0.01
0.4,0.01,6,3,962,1.0000000000000002,0.01
0.4,0.01,7,7,962,1.0000000000000002,1.0
0.8000000000000002,0.01,7,4,962,1.0000000000000002,0.01
0.4,0.01,7,3,962,1.0000000000000002,100.0
0.4,0.01,5,6,962,1.0000000000000002,100.0
0.4,0.01,7,5,962,1.0000000000000002,50.0
0.4,0.01,7,7,962,1.0000000000000002,100.0
1.0000000000000002,0.01,6,4,962,1.0000000000000002,75.0
0.4,0.01,3,3,962,0.8000000000000002,100.0
1.0000000000000002,0.01,3,1,962,1.0000000000000002,25.0
0.4,0.01,4,7,962,0.8000000000000002,100.0
1.0000000000000002,0.01,4,1,962,1.0000000000000002,0.01
1.0000000000000002,0.01,4,1,962,1.0000000000000002,5.0
0.4,0.01,4,3,962,0.8000000000000002,0.01
0.4,0.01,3,5,962,0.4,25.0
0.4,0.01,4,6,962,1.0000000000000002,0.01
1.0000000000000002,0.01,5,4,962,1.0000000000000002,0.01
1.0000000000000002,0.01,6,3,962,1.0000000000000002,25.0
1.0000000000000002,0.01,6,5,962,1.0000000000000002,100.0
1.0000000000000002,0.01,6,7,962,1.0000000000000002,100.0
1.0000000000000002,0.01,4,7,962,1.0000000000000002,100.0
1.0000000000000002,0.01,4,7,962,1.0000000000000002,1.0
1.0000000000000002,0.01,5,7,962,1.0000000000000002,0.01
0.4,0.01,7,1,962,0.6000000000000001,75.0
0.4,0.01,7,1,962,1.0000000000000002,0.01
0.4,0.01,3,5,962,0.8000000000000002,50.0
0.4,0.01,7,4,962,0.8000000000000002,0.1
0.4,0.01,5,7,962,0.8000000000000002,0.01
0.4,0.01,7,5,962,0.8000000000000002,10.0
0.4,0.01,3,4,962,1.0000000000000002,10.0
0.4,0.01,4,7,962,1.0000000000000002,10.0
0.4,0.01,3,1,962,0.8000000000000002,5.0
1.0000000000000002,0.01,3,1,962,1.0000000000000002,10.0
0.4,0.01,3,1,962,1.0000000000000002,0.0
0.4,0.01,3,1,962,1.0000000000000002,5.0
1.0000000000000002,0.01,3,1,962,1.0000000000000002,0.01
0.4,0.01,6,7,962,1.0000000000000002,0.01
0.4,0.01,7,7,962,1.0000000000000002,100.0
0.4,0.01,5,2,962,1.0000000000000002,100.0
0.4,0.01,3,6,962,0.4,0.01
1.0000000000000002,0.01,6,1,962,1.0000000000000002,0.01
0.4,0.01,4,7,962,0.8000000000000002,75.0
0.4,0.01,4,7,962,0.8000000000000002,75.0
1.0000000000000002,0.01,5,7,962,1.0000000000000002,10.0
1.0000000000000002,0.01,5,7,962,1.0000000000000002,10.0
1.0000000000000002,0.01,5,5,962,1.0000000000000002,0.01
0.4,0.01,6,7,962,1.0000000000000002,100.0
0.4,0.01,7,7,962,0.8000000000000002,75.0
0.4,0.01,5,6,962,1.0000000000000002,100.0
1.0000000000000002,0.01,6,1,962,1.0000000000000002,5.0
0.4,0.01,5,1,962,0.8000000000000002,100.0
